공모전명,조회수,주최,주관,응모분야,참가자격,접수기간,1등시상금,입사_가산점,인턴정직원_채용,기획/아이디어,광고/마케팅,학술,사진/영상/UCC,디자인,문학/시나리오,건축/건설/인테리어,브랜드/네이밍,예체능,대외활동,취업/창업,IT/소프트웨어/게임,분야별_기타
2019 하이라이트TV 영상 공모전,987,하이라이트TV,한국언론진흥재단,UCC/영상,제한없음,2019-08-19 ~ 2019-10-06,200만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"티클 1줄 아이디어 공모전. 참여만 해도 15,000원?",2023,주식회사 티클,주식회사 티클,네이밍/슬로건,제한없음,2019-08-12 ~ 2019-08-31,30만원,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
제13회 상록수다문화국제단편영화제 작품 공모,323,(사)한국영화인연합회 경기도연합회/상록수다문화국제단편영화제 집행위원회,주식회사 티클,UCC/영상,제한없음,2019-07-29 ~ 2019-08-23,30만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
제3회 한국제지 브랜드 아이디어 공모전,649,한국제지,한국제지,기획/아이디어,제한없음,2019-08-01 ~ 2019-09-08,300만원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
대학생 서포터즈 <알약크루> 2기 모집,559,ESTsecurity,ESTsecurity,취업/창업,대학생/서울·수도권 거주인,2019-08-12 ~ 2019-08-25,300만원,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
대구대학교 혁신을 위한 작은 아이디어 공모전,428,"대구대학교,(재)대구대학교학술연구재단",ESTsecurity,기획/아이디어,제한없음,2019-08-12 ~ 2019-09-15,150만원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
팟프리카X틱톡 보이스배틀그라운드 시즌3 참가자 모집,733,"아프리카TV (주), TikTok",아롬,UCC/영상,제한없음,2019-08-08 ~ 2019-08-18,500만 원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
제1회 대한민국 어린이 안전산업디자인 대전,2283,(재)경북테크노파크,아롬,기획/아이디어,대학생/일반인,2019-08-01 ~ 2019-09-16,"1,000만원",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
여성인권영화제 단편영화 시나리오 공모전,930,한국여성의전화,아롬,문학/수기,제한없음,2019-07-17 ~ 2019-08-31,"1,000만원",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019 어린이 제품안전 그림·글짓기 공모전,2087,산업통상자원부 국가기술표준원,한국제품안전관리원,문학/수기,어린이/초등학생,2019-08-12 ~ 2019-09-30,50만원 문화상품권,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2030신입사원 구독하고 베스킨라빈스 Go,923,RHQ,RHQ,경품/이벤트,제한없음,2019-08-13 ~ 2019-08-19,베스킨라빈스 3만원상당 케잌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
투윅스(Two weeks) - 앱/웹 서비스 출시를 위한 초단기 프로젝트,1219,주식회사 패스파인더,주식회사 패스파인더,게임/소프트웨어,제한없음,2019-08-12 ~ 2019-09-12,베스킨라빈스 3만원상당 케잌,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019 ICT 문화 융합 비즈니스 챌린지,3813,과학기술정보통신부,정보통신산업진흥원,기획/아이디어게임/소프트웨어,제한없음,2019-08-12 ~ 2019-09-19,1.000만원,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"국내 최초 대학생 연합 브랜딩 동아리 ""브랜드림"" 29기 모집",609,브랜드림,정보통신산업진흥원,기획/아이디어광고/마케팅,대학생,2019-08-11 ~ 2019-08-25,1.000만원,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
제4회 부동산산업의날 웹툰 공모전 (기간연장),1391,한국부동산경제단체연합회,한국부동산분석학회,캐릭터/만화,제한없음,2019-07-23 ~ 2019-10-25,상금 200만원,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019 용인시 청년정책 발굴 오디션,422,용인시,아이쿠스,기획/아이디어,기타,2019-08-14 ~ 2019-09-11,200만원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
제2회 콘크리트로 가구를 만들 수 있다니?!,608,(주)스튜디오미콘,(주)스튜디오미콘,디자인,제한없음,2019-08-08 ~ 2019-09-08,200만원,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019 사인프론티어 공모,5127,한국지방재정공제회 한국옥외광고센터,한국지방재정공제회 한국옥외광고센터,디자인사진,대학생/대학원생/일반인/제한없음,2019-04-01 ~ 2019-10-20,50만원(부문별 상이),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
제4회 농식품 파란 창업 아이디어 공모전,5337,농협미래농업지원센터,한국지방재정공제회 한국옥외광고센터,기획/아이디어광고/마케팅,제한없음,2019-08-19 ~ 2019-10-18,50만원(부문별 상이),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
왕십리 스마트 교통도시 아이디어  공모,665,정도UIT,한국지방재정공제회 한국옥외광고센터,기획/아이디어,제한없음,2019-08-14 ~ 2019-09-20,50만원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
