공모전명,조회수,주최,주관,응모분야,참가자격,접수기간,1등시상금,입사_가산점,인턴정직원_채용,기획/아이디어,광고/마케팅,학술,사진/영상/UCC,디자인,문학/시나리오,건축/건설/인테리어,브랜드/네이밍,예체능,대외활동,취업/창업,IT/소프트웨어/게임,분야별_기타
(서포터즈) 그린플러그드 서울 2020 그린메이트 모집,352,그린플러그드 서울,그린플러그드 서울,대외활동,제한없음,2020-03-02 ~ 2020-03-18,30만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(기타) 노래하면 무조건 화음 넣는 동아리! 노래악단 씽 신입회원 모집,316,노래악단 씽,그린플러그드 서울,대외활동,대학생,2020-03-16 ~ 2020-03-22,30만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) 2020 국제청년센터 청년운영단 모집,387,국제청년센터,광화문국제아트페스티벌 조직위원회,대외활동,대학생,2020-03-16 ~ 2020-04-10,50만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(교육/강연) 모비아카데미, 광고 대행사의 실무자가 알려주는 유튜브 광고 운영 전략",231,모비아카데미,모비아카데미,대외활동,제한없음,2020-03-15 ~ 2020-03-25,50만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(봉사활동) 2020 제2회 치매극복 봉사동아리 모집,493,제주특별자치도광역치매센터,제주특별자치도광역치매센터,봉사활동,대학생/대학원생/일반인,2020-02-24 ~ 2020-03-20,50만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) DTRT 디티알티 공식 서포터즈 맨그루머 7기 모집,682,DTRT,NAVER,대외활동,제한없음,2020-03-17 ~ 2020-04-05,50만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) 강원국제회의센터 2020년도 제7기 강원 MICE 서포터즈 G-MICE KEY 모집,291,강원국제회의센터,뚜주르누보,대외활동,대학생,2020-03-16 ~ 2020-04-03,굿즈 브랜드샵,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(기타) 2020 ICT멘토링 멘티 모집,657,과학기술정보통신부,정보통신기획평가원,대외활동,대학생,2020-03-01 ~ 2020-04-30,500만원 장학금,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) 수면공감 서포터즈 '깊은밤 원정대' 1기 모집,461,달콤한고래들,달콤한고래들,대외활동,제한없음,2020-03-16 ~ 2020-04-06,지원사업,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) 2020 라벨라 오페라단 서포터즈 라벨리 1기 모집,441,라벨라 오페라단,KDI,대외활동,대학생/대학원생,2020-03-18 ~ 2020-03-31,500만원,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈)청년취업아카데미 창직과정 J크리에이터 3기 모집,242,고용노동부 한국산업인력공단,(주)아르케,대외활동,대학생,2020-03-16 ~ 2020-03-27,400만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(교육/강연) 오픈소스 기반 웹앱 개발자 양성 및 취업지원,435,서울특별시,한국직업개발원,대외활동,제한없음,2020-03-17 ~ 2020-03-30,400만원,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"(기타) 긴급구호, 길어지는 코로나19에 따뜻한 도시락을 선물합니다.",712,밥퍼나눔운동본부,한국직업개발원,봉사활동,대학생/대학원생/일반인,2020-03-17 ~ 2020-04-04,400만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈)제8회 무주산골영화제 자원활동가 '산골친구' 모집,528,무주산골영화제,한국저작권보호원,대외활동,대학생/대학원생/일반인,2020-03-09 ~ 2020-05-01,200만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) 커넥츠 공식 멘토링 서포터즈 3기 모집,826,st유니타스,st유니타스 커넥츠,대외활동,대학생/대학원생/일반인,2020-03-19 ~ 2020-04-27,상용화 비용 지원(최대 1억원),1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(교육/강연) 모비아카데미 특강 온라인 마케팅으로 월 부수입 100만 원 벌기,268,모비아카데미,모비아카데미,대외활동,제한없음,2020-03-19 ~ 2020-04-18,400만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) 강남구민 참여 ICT 리빙랩 주민참여단 모집,205,강남구청,"에스이임파워 사회적협동조합, 그렉터",대외활동,일반인,2020-03-16 ~ 2020-04-06,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) 2020년 경기문화재단 문화 시민 기자단 문시기 모집,334,경기문화재단,"에스이임파워 사회적협동조합, 그렉터",대외활동,기타,2020-03-20 ~ 2020-03-30,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(봉사활동) 포스코에너지 대학생 봉사단, 희망에너지 10기 모집(~4/5)",672,포스코에너지,가톨릭영화제 집행위원회,봉사활동,대학생,2020-03-09 ~ 2020-04-05,50만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(교육/강연) 모비아카데미 NEW 파이어베이스 심화편-데이터 분석부터 시각화까지,228,모비아카데미,모비아카데미,대외활동,제한없음,2020-03-23 ~ 2020-04-22,200만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈)우화만 제 5기 뷰티 서포터즈 모집,492,(주)굿즈컴퍼니,모비아카데미,대외활동,대학생/대학원생/일반인/고등학생,2020-03-24 ~ 2020-04-15,200만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(기타) 동작구 청년정책 네트워크 활동청년 모집,324,동작구청,모비아카데미,대외활동,대학생/대학원생/일반인,2020-03-23 ~ 2020-04-13,200만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
